person_id;trip_index;preceding_activity_index;following_activity_index;departure_time;arrival_time;preceding_purpose;following_purpose;is_first;is_last
17234;1;1;2;70860.0;71760.0;work;home;False;True
17235;0;0;1;36166.0;37366.0;home;shop;True;False
17235;1;1;2;52066.0;52966.0;shop;home;False;True
17453;0;0;1;31813.0;31993.0;home;education;True;False
17453;1;1;2;43453.0;43633.0;education;home;False;False
17453;2;2;3;49573.0;49753.0;home;education;False;False
17453;3;3;4;61273.0;61393.0;education;home;False;True
17454;0;0;1;32920.0;34120.0;home;leisure;True;False
17454;1;1;2;41620.0;43420.0;leisure;home;False;False
17454;2;2;3;61420.0;62620.0;home;leisure;False;False
17454;3;3;4;66820.0;68020.0;leisure;home;False;True
17455;0;0;1;31811.0;32711.0;home;shop;True;False
17455;1;1;2;32951.0;33071.0;shop;work;False;False
17455;2;2;3;45011.0;45191.0;work;home;False;False
17455;3;3;4;51611.0;51911.0;home;work;False;False
17455;4;4;5;69011.0;69611.0;work;shop;False;False
17455;5;5;6;73811.0;74111.0;shop;home;False;True
17456;0;0;1;21650.0;23450.0;home;education;True;False
17456;1;1;2;59450.0;61250.0;education;home;False;True
19181;0;0;1;31582.0;33382.0;home;work;True;False
19181;1;1;2;65782.0;67582.0;work;home;False;True
25726;0;0;1;38338.0;38578.0;home;other;True;False
25726;1;1;2;52078.0;52198.0;other;leisure;False;True
25773;0;0;1;49914.0;51714.0;home;leisure;True;False
25773;1;1;2;58914.0;60714.0;leisure;home;False;True
26114;0;0;1;33535.0;34015.0;shop;shop;True;False
26114;1;1;2;35695.0;36775.0;shop;home;False;True
26893;0;0;1;42571.0;42871.0;home;leisure;True;False
26893;1;1;2;42931.0;43291.0;leisure;home;False;True
26894;0;0;1;33728.0;33848.0;home;leisure;True;False
26894;1;1;2;71528.0;71708.0;leisure;home;False;True
26954;0;0;1;37559.0;37859.0;home;shop;True;False
26954;1;1;2;38459.0;38759.0;shop;shop;False;False
26954;2;2;3;39959.0;40259.0;shop;home;False;True
26955;0;0;1;54545.0;58145.0;home;leisure;True;False
26955;1;1;2;58145.0;61745.0;leisure;home;False;True
27002;0;0;1;48230.0;48530.0;home;shop;True;False
27002;1;1;2;58730.0;59030.0;shop;home;False;True
28421;0;0;1;31639.0;37939.0;work;home;True;True
28422;0;0;1;53341.0;56941.0;home;leisure;True;False
28422;1;1;2;56941.0;60541.0;leisure;home;False;True
34376;0;0;1;23645.0;24545.0;home;work;True;False
34376;1;1;2;53945.0;54545.0;work;home;False;False
34376;2;2;3;56045.0;56645.0;home;leisure;False;False
34376;3;3;4;60845.0;61445.0;leisure;home;False;True
36506;0;0;1;33729.0;34029.0;home;leisure;True;False
36506;1;1;2;47829.0;48129.0;leisure;home;False;False
36506;2;2;3;48429.0;48729.0;home;leisure;False;False
36506;3;3;4;49929.0;50229.0;leisure;home;False;True
37213;0;0;1;28090.0;28570.0;home;work;True;False
37213;1;1;2;45670.0;45970.0;work;home;False;False
37213;2;2;3;50950.0;51310.0;home;work;False;False
37213;3;3;4;56830.0;57190.0;work;other;False;False
37213;4;4;5;57610.0;57790.0;other;work;False;False
37213;5;5;6;58030.0;58330.0;work;work;False;False
37213;6;6;7;61030.0;61930.0;work;shop;False;False
37213;7;7;8;62830.0;63250.0;shop;home;False;True
37214;0;0;1;48788.0;49628.0;home;leisure;True;False
37214;1;1;2;53588.0;54488.0;leisure;home;False;False
37214;2;2;3;64088.0;64988.0;home;other;False;False
37214;3;3;4;65108.0;65888.0;other;home;False;False
37214;4;4;5;72488.0;73028.0;home;other;False;False
37214;5;5;6;73388.0;74288.0;other;home;False;True
37215;0;0;1;40118.0;40418.0;home;leisure;True;False
37215;1;1;2;46118.0;47318.0;leisure;education;False;False
37215;2;2;3;65918.0;67118.0;education;education;False;False
37215;3;3;4;67418.0;67718.0;education;home;False;True
38072;0;0;1;33135.0;33435.0;home;leisure;True;False
38072;1;1;2;47235.0;47535.0;leisure;home;False;False
38072;2;2;3;47835.0;48135.0;home;leisure;False;False
38072;3;3;4;49335.0;49635.0;leisure;home;False;True
38638;0;0;1;42136.0;42436.0;home;other;True;False
38638;1;1;2;42496.0;42736.0;other;home;False;False
38638;2;2;3;47536.0;51136.0;home;leisure;False;False
38638;3;3;4;51496.0;61036.0;leisure;leisure;False;False
38638;4;4;5;61096.0;62836.0;leisure;other;False;False
38638;5;5;6;62896.0;63136.0;other;home;False;True
38639;0;0;1;64688.0;64988.0;home;other;True;False
38639;1;1;2;67688.0;67988.0;other;home;False;True
38640;0;0;1;30330.0;30930.0;home;work;True;False
38640;1;1;2;71730.0;72330.0;work;home;False;True
41129;0;0;1;25892.0;30392.0;home;work;True;False
41129;1;1;2;64592.0;69092.0;work;home;False;True
42949;0;0;1;24274.0;25174.0;home;work;True;False
42949;1;1;2;55474.0;56374.0;work;home;False;True
43006;0;0;1;52415.0;52715.0;home;leisure;True;False
43006;1;1;2;57815.0;58115.0;leisure;home;False;True
43759;0;0;1;41043.0;41883.0;home;work;True;False
43759;1;1;2;63243.0;64023.0;work;home;False;True
47166;0;0;1;25370.0;27170.0;home;work;True;False
47166;1;1;2;42770.0;42950.0;work;shop;False;False
47166;2;2;3;43970.0;44150.0;shop;work;False;False
47166;3;3;4;59570.0;61370.0;work;other;False;False
47166;4;4;5;61430.0;61670.0;other;home;False;True
47167;0;0;1;31230.0;31530.0;home;other;True;False
47167;1;1;2;31830.0;32430.0;other;education;False;False
47167;2;2;3;59130.0;59430.0;education;home;False;False
47167;3;3;4;61230.0;61530.0;home;other;False;False
47167;4;4;5;61530.0;61830.0;other;home;False;True
51437;0;0;1;30101.0;30941.0;home;education;True;False
51437;1;1;2;42341.0;42641.0;education;home;False;False
51437;2;2;3;48281.0;49181.0;home;education;False;False
51437;3;3;4;64241.0;65681.0;education;home;False;False
51437;4;4;5;66701.0;67781.0;home;shop;False;False
51437;5;5;6;68261.0;69461.0;shop;home;False;True
51439;0;0;1;30720.0;31320.0;home;leisure;True;False
51439;1;1;2;31380.0;31860.0;leisure;home;False;False
51439;2;2;3;32760.0;34320.0;home;work;False;False
51439;3;3;4;63420.0;67320.0;work;home;False;True
51676;0;0;1;62256.0;63156.0;home;leisure;True;False
51676;1;1;2;64056.0;64236.0;leisure;shop;False;False
51676;2;2;3;65556.0;65676.0;shop;home;False;False
51676;3;3;4;67356.0;68256.0;home;home;False;True
54051;0;0;1;36581.0;36701.0;home;shop;True;False
54051;1;1;2;36941.0;37781.0;shop;shop;False;False
54051;2;2;3;39281.0;39701.0;shop;shop;False;False
54051;3;3;4;39941.0;40361.0;shop;home;False;False
54051;4;4;5;60101.0;60521.0;home;other;False;False
54051;5;5;6;61721.0;62141.0;other;home;False;True
59475;0;0;1;24587.0;26387.0;home;work;True;False
59475;1;1;2;59387.0;61187.0;work;home;False;True
59476;0;0;1;28211.0;28811.0;home;work;True;False
59476;1;1;2;31211.0;32411.0;work;work;False;False
59476;2;2;3;34211.0;35411.0;work;work;False;False
59476;3;3;4;63911.0;65711.0;work;work;False;False
59476;4;4;5;66611.0;68111.0;work;home;False;True
59477;0;0;1;59803.0;60103.0;home;shop;True;False
59477;1;1;2;61903.0;62203.0;shop;home;False;True
59478;0;0;1;64886.0;65306.0;home;shop;True;False
59478;1;1;2;66986.0;67586.0;shop;home;False;True
68424;0;0;1;30837.0;31137.0;home;leisure;True;False
68424;1;1;2;35337.0;35937.0;leisure;shop;False;False
68424;2;2;3;36237.0;36537.0;shop;home;False;False
68424;3;3;4;37137.0;37437.0;home;shop;False;False
68424;4;4;5;38337.0;38637.0;shop;home;False;False
68424;5;5;6;51837.0;52737.0;home;shop;False;False
68424;6;6;7;61737.0;62637.0;shop;home;False;True
71629;0;0;1;27024.0;28224.0;home;work;True;False
71629;1;1;2;73824.0;75024.0;work;home;False;True
71630;0;0;1;62523.0;63423.0;home;leisure;True;False
71630;1;1;2;63483.0;64923.0;leisure;home;False;True
71806;0;0;1;31784.0;32204.0;home;work;True;False
71806;1;1;2;34784.0;35684.0;work;work;False;False
71806;2;2;3;44684.0;45584.0;work;work;False;False
71806;3;3;4;46484.0;46904.0;work;home;False;False
71806;4;4;5;51884.0;52304.0;home;work;False;False
71806;5;5;6;62684.0;63284.0;work;work;False;False
71806;6;6;7;68084.0;68984.0;work;work;False;False
71806;7;7;8;70784.0;71204.0;work;home;False;True
72499;0;0;1;26246.0;27446.0;home;leisure;True;False
72499;1;1;2;38846.0;40046.0;leisure;home;False;False
72499;2;2;3;51446.0;52646.0;home;shop;False;False
72499;3;3;4;55046.0;55946.0;shop;home;False;False
72499;4;4;5;56846.0;57446.0;home;leisure;False;False
72499;5;5;6;64046.0;64946.0;leisure;home;False;True
73994;0;0;1;37771.0;39571.0;home;shop;True;False
73994;1;1;2;44371.0;44971.0;shop;home;False;True
73995;0;0;1;69152.0;74252.0;home;work;True;True
77394;0;0;1;58651.0;59851.0;home;other;True;False
77394;1;1;2;61951.0;63151.0;other;shop;False;False
77394;2;2;3;67651.0;68851.0;shop;home;False;True
77585;0;0;1;31627.0;32527.0;home;work;True;False
77585;1;1;2;38827.0;39727.0;work;home;False;False
77585;2;2;3;49627.0;50827.0;home;work;False;False
77585;3;3;4;56827.0;58327.0;work;home;False;False
77585;4;4;5;60427.0;60727.0;home;work;False;False
77585;5;5;6;64027.0;64327.0;work;home;False;True
82090;0;0;1;50850.0;52050.0;home;shop;True;False
82090;1;1;2;52650.0;52950.0;shop;leisure;False;False
82090;2;2;3;68850.0;70050.0;leisure;home;False;True
82091;0;0;1;31421.0;32021.0;home;work;True;False
82091;1;1;2;43121.0;43721.0;work;home;False;False
82091;2;2;3;46121.0;46721.0;home;work;False;False
82091;3;3;4;61121.0;61721.0;work;home;False;True
83944;0;0;1;27704.0;32204.0;home;other;True;False
83944;1;1;2;33104.0;34904.0;other;home;False;True
83945;0;0;1;27776.0;28976.0;home;work;True;False
83945;1;1;2;44576.0;45776.0;work;home;False;False
83945;2;2;3;47876.0;49076.0;home;work;False;False
83945;3;3;4;60776.0;62276.0;work;home;False;True
84105;0;0;1;21494.0;21794.0;home;work;True;False
84105;1;1;2;41594.0;41894.0;work;home;False;False
84105;2;2;3;47894.0;48194.0;home;work;False;False
84105;3;3;4;56894.0;57194.0;work;home;False;False
84105;4;4;5;65894.0;66794.0;home;leisure;False;False
84105;5;5;6;75794.0;76694.0;leisure;home;False;True
84106;0;0;1;53826.0;54726.0;home;other;True;False
84106;1;1;2;57426.0;58326.0;other;other;False;False
84106;2;2;3;62826.0;64626.0;other;home;False;True
84107;0;0;1;52135.0;53935.0;home;shop;True;False
84107;1;1;2;55735.0;57535.0;shop;home;False;True
85729;0;0;1;27446.0;31946.0;home;other;True;False
85729;1;1;2;32846.0;34646.0;other;home;False;True
85730;0;0;1;56230.0;60730.0;home;leisure;True;False
85730;1;1;2;60730.0;65230.0;leisure;home;False;True
87874;0;0;1;30319.0;30979.0;home;work;True;False
87874;1;1;2;67459.0;68359.0;work;leisure;False;False
87874;2;2;3;70159.0;70279.0;leisure;home;False;True
87875;0;0;1;29714.0;30554.0;home;education;True;False
87875;1;1;2;64214.0;64754.0;education;home;False;False
87875;2;2;3;71414.0;77714.0;home;leisure;False;True
87876;0;0;1;30498.0;30798.0;home;other;True;False
87876;1;1;2;31098.0;31698.0;other;education;False;False
87876;2;2;3;58398.0;58698.0;education;home;False;False
87876;3;3;4;60498.0;60798.0;home;other;False;False
87876;4;4;5;60798.0;61098.0;other;home;False;True
87877;0;0;1;25286.0;25586.0;home;work;True;False
87877;1;1;2;43586.0;43886.0;work;home;False;False
87877;2;2;3;48686.0;48986.0;home;work;False;False
87877;3;3;4;68786.0;69086.0;work;home;False;True
100214;0;0;1;26025.0;26325.0;home;shop;True;False
100214;1;1;2;27525.0;27825.0;shop;home;False;False
100214;2;2;3;31425.0;31725.0;home;shop;False;False
100214;3;3;4;36525.0;36825.0;shop;home;False;False
100214;4;4;5;37125.0;39825.0;home;leisure;False;False
100214;5;5;6;40125.0;40425.0;leisure;home;False;False
100214;6;6;7;47625.0;48525.0;home;leisure;False;False
100214;7;7;8;48825.0;49425.0;leisure;home;False;False
100214;8;8;9;62025.0;63825.0;home;leisure;False;False
100214;9;9;10;64725.0;65625.0;leisure;home;False;True
100215;0;0;1;59040.0;63540.0;home;leisure;True;False
100215;1;1;2;63540.0;68040.0;leisure;home;False;True
103498;0;0;1;32100.0;32700.0;home;other;True;False
103498;1;1;2;39300.0;39900.0;other;home;False;False
103498;2;2;3;41100.0;41700.0;home;shop;False;False
103498;3;3;4;44700.0;45300.0;shop;home;False;False
103498;4;4;5;53700.0;54600.0;home;shop;False;False
103498;5;5;6;59100.0;60000.0;shop;other;False;False
103498;6;6;7;60600.0;61500.0;other;home;False;True
103500;0;0;1;32529.0;32949.0;home;other;True;False
103500;1;1;2;33369.0;33429.0;other;home;False;False
103500;2;2;3;34329.0;34749.0;home;other;False;False
103500;3;3;4;36129.0;36249.0;other;home;False;False
103500;4;4;5;40629.0;40749.0;home;other;False;False
103500;5;5;6;42369.0;42429.0;other;home;False;False
103500;6;6;7;49329.0;49449.0;home;other;False;False
103500;7;7;8;50529.0;50709.0;other;home;False;True
103501;0;0;1;27622.0;28042.0;home;education;True;False
103501;1;1;2;60022.0;60622.0;education;home;False;True
106898;0;0;1;43382.0;45782.0;home;work;True;False
106898;1;1;2;71282.0;73682.0;work;home;False;True
108516;0;0;1;40993.0;41353.0;home;shop;True;False
108516;1;1;2;42553.0;42793.0;shop;home;False;True
109478;0;0;1;41804.0;42704.0;home;shop;True;False
109478;1;1;2;43604.0;44204.0;shop;home;False;False
109478;2;2;3;53204.0;54404.0;home;leisure;False;False
109478;3;3;4;61604.0;62804.0;leisure;home;False;True
109479;0;0;1;41106.0;42006.0;home;shop;True;False
109479;1;1;2;42906.0;44106.0;shop;home;False;False
109479;2;2;3;59406.0;60006.0;home;leisure;False;False
109479;3;3;4;65106.0;66006.0;leisure;home;False;True
116319;0;0;1;36153.0;37653.0;home;shop;True;False
116319;1;1;2;45093.0;46653.0;shop;home;False;True
116320;0;0;1;30442.0;35842.0;home;work;True;False
116320;1;1;2;65542.0;68542.0;work;home;False;True
119288;0;0;1;68639.0;69839.0;home;other;True;False
119288;1;1;2;71339.0;72539.0;other;home;False;True
120311;0;0;1;33886.0;34786.0;home;shop;True;False
120311;1;1;2;39586.0;40786.0;shop;home;False;True
120495;0;0;1;42592.0;43492.0;home;shop;True;False
120495;1;1;2;44392.0;44992.0;shop;home;False;False
120495;2;2;3;53992.0;55192.0;home;leisure;False;False
120495;3;3;4;62392.0;63592.0;leisure;home;False;True
120575;0;0;1;22081.0;24781.0;home;work;True;False
120575;1;1;2;52081.0;55381.0;work;home;False;False
120575;2;2;3;63481.0;64081.0;home;shop;False;False
120575;3;3;4;67681.0;68281.0;shop;home;False;True
120576;0;0;1;26178.0;27378.0;home;work;True;False
120576;1;1;2;50178.0;51378.0;work;home;False;False
120576;2;2;3;57078.0;58698.0;home;work;False;False
120576;3;3;4;72078.0;73278.0;work;home;False;True
120577;0;0;1;28149.0;28749.0;home;work;True;False
120577;1;1;2;42549.0;43149.0;work;home;False;False
120577;2;2;3;46449.0;47049.0;home;work;False;False
120577;3;3;4;66249.0;67149.0;work;home;False;False
120577;4;4;5;68949.0;69849.0;home;shop;False;False
120577;5;5;6;71649.0;72549.0;shop;home;False;True
124460;0;0;1;28146.0;28746.0;home;education;True;False
124460;1;1;2;43446.0;44046.0;education;home;False;True
124461;0;0;1;44502.0;44802.0;home;other;True;False
124461;1;1;2;45102.0;45402.0;other;home;False;False
124461;2;2;3;54102.0;54402.0;home;other;False;False
124461;3;3;4;54702.0;55302.0;other;other;False;False
124461;4;4;5;57702.0;58302.0;other;shop;False;False
124461;5;5;6;62202.0;62802.0;shop;other;False;False
124461;6;6;7;63102.0;63402.0;other;home;False;False
124461;7;7;8;67602.0;68202.0;home;other;False;False
124461;8;8;9;68502.0;69102.0;other;home;False;True
124462;0;0;1;30425.0;31325.0;home;education;True;False
124462;1;1;2;62825.0;63725.0;education;home;False;True
124463;0;0;1;25129.0;26929.0;home;education;True;False
124463;1;1;2;61129.0;62629.0;education;home;False;True
124464;0;0;1;30609.0;31209.0;home;leisure;True;False
124464;1;1;2;31269.0;31749.0;leisure;home;False;False
124464;2;2;3;32649.0;34209.0;home;work;False;False
124464;3;3;4;63309.0;67209.0;work;home;False;True
125312;0;0;1;54133.0;54433.0;home;leisure;True;False
125312;1;1;2;59533.0;59833.0;leisure;home;False;True
125313;0;0;1;55149.0;56049.0;home;other;True;False
125313;1;1;2;58749.0;59649.0;other;other;False;False
125313;2;2;3;64149.0;65949.0;other;home;False;True
131916;0;0;1;56006.0;57806.0;home;shop;True;False
131916;1;1;2;64106.0;65906.0;shop;home;False;True
134704;0;0;1;30310.0;35710.0;home;work;True;False
134704;1;1;2;65410.0;68410.0;work;home;False;True
134705;0;0;1;32762.0;33182.0;home;work;True;False
134705;1;1;2;40562.0;41162.0;work;home;False;False
134705;2;2;3;48962.0;49562.0;home;work;False;False
134705;3;3;4;62162.0;63062.0;work;home;False;True
134706;0;0;1;29549.0;30149.0;home;work;True;False
134706;1;1;2;70949.0;71549.0;work;home;False;True
134708;0;0;1;57769.0;58069.0;home;leisure;True;False
134708;1;1;2;71269.0;72469.0;leisure;leisure;False;False
134708;2;2;3;81469.0;82669.0;leisure;home;False;True
145860;0;0;1;66808.0;68008.0;home;leisure;True;False
145860;1;1;2;77608.0;78808.0;leisure;home;False;True
145862;0;0;1;33177.0;33477.0;home;education;True;False
145862;1;1;2;63177.0;63477.0;education;home;False;True
146085;0;0;1;49130.0;50030.0;home;shop;True;False
146085;1;1;2;53630.0;54530.0;shop;home;False;True
146587;0;0;1;64907.0;65507.0;home;leisure;True;False
146587;1;1;2;66707.0;67607.0;leisure;home;False;True
147524;0;0;1;30938.0;37238.0;work;home;True;True
148384;0;0;1;31011.0;31431.0;home;other;True;False
148384;1;1;2;31851.0;31911.0;other;home;False;False
148384;2;2;3;32811.0;33231.0;home;other;False;False
148384;3;3;4;34611.0;34731.0;other;home;False;False
148384;4;4;5;39111.0;39231.0;home;other;False;False
148384;5;5;6;40851.0;40911.0;other;home;False;False
148384;6;6;7;47811.0;47931.0;home;other;False;False
148384;7;7;8;49011.0;49191.0;other;home;False;True
148603;0;0;1;29943.0;30423.0;home;work;True;False
148603;1;1;2;47523.0;47823.0;work;home;False;False
148603;2;2;3;52803.0;53163.0;home;work;False;False
148603;3;3;4;58683.0;59043.0;work;other;False;False
148603;4;4;5;59463.0;59643.0;other;work;False;False
148603;5;5;6;59883.0;60183.0;work;work;False;False
148603;6;6;7;62883.0;63783.0;work;shop;False;False
148603;7;7;8;64683.0;65103.0;shop;home;False;True
150380;0;0;1;22173.0;23373.0;home;work;True;False
150380;1;1;2;69573.0;71973.0;work;home;False;True
150381;0;0;1;26797.0;27397.0;home;education;True;False
150381;1;1;2;42097.0;42697.0;education;home;False;True
150382;0;0;1;27748.0;28468.0;home;work;True;False
150382;1;1;2;42268.0;42988.0;work;home;False;True
150383;0;0;1;44413.0;48013.0;home;shop;True;False
150383;1;1;2;53953.0;55513.0;shop;other;False;False
150383;2;2;3;56833.0;58213.0;other;shop;False;False
150383;3;3;4;58273.0;58513.0;shop;shop;False;False
150383;4;4;5;62113.0;62413.0;shop;other;False;False
150383;5;5;6;63313.0;63613.0;other;other;False;False
150383;6;6;7;64033.0;65233.0;other;home;False;True
150408;0;0;1;39465.0;40065.0;home;other;True;False
150408;1;1;2;53865.0;55065.0;other;other;False;False
150408;2;2;3;55185.0;55665.0;other;home;False;False
150408;3;3;4;69165.0;69765.0;home;leisure;False;False
150408;4;4;5;70365.0;70965.0;leisure;home;False;True
152271;0;0;1;30009.0;30249.0;home;home;True;False
152271;1;1;2;30609.0;31029.0;home;leisure;False;False
152271;2;2;3;31449.0;31809.0;leisure;leisure;False;False
152271;3;3;4;32529.0;32829.0;leisure;home;False;False
152271;4;4;5;35769.0;36549.0;home;shop;False;False
152271;5;5;6;38709.0;39489.0;shop;home;False;False
152271;6;6;7;41589.0;43089.0;home;leisure;False;False
152271;7;7;8;57489.0;58389.0;leisure;leisure;False;False
152271;8;8;9;59169.0;59409.0;leisure;other;False;False
152271;9;9;10;60249.0;60429.0;other;home;False;False
152271;10;10;11;60609.0;61209.0;home;other;False;False
152271;11;11;12;62109.0;63369.0;other;home;False;True
153682;0;0;1;26453.0;28853.0;home;leisure;True;False
153682;1;1;2;29453.0;32453.0;leisure;home;False;False
153682;2;2;3;39053.0;39353.0;home;shop;False;False
153682;3;3;4;39953.0;40253.0;shop;home;False;False
153682;4;4;5;58253.0;58853.0;home;leisure;False;False
153682;5;5;6;60653.0;61253.0;leisure;home;False;True
153683;0;0;1;29457.0;30357.0;home;education;True;False
153683;1;1;2;63357.0;64257.0;education;home;False;True
156360;0;0;1;32946.0;33846.0;home;work;True;False
156360;1;1;2;43746.0;44646.0;work;other;False;False
156360;2;2;3;44946.0;45246.0;other;home;False;False
156360;3;3;4;50046.0;51846.0;home;work;False;False
156360;4;4;5;68046.0;68946.0;work;home;False;True
156361;0;0;1;25944.0;29544.0;home;work;True;False
156361;1;1;2;61944.0;67344.0;work;home;False;False
156361;2;2;3;69144.0;69444.0;home;leisure;False;False
156361;3;3;4;78144.0;78444.0;leisure;home;False;True
157431;0;0;1;27816.0;29616.0;home;work;True;False
157431;1;1;2;44016.0;45816.0;work;home;False;False
157431;2;2;3;46716.0;47016.0;home;leisure;False;False
157431;3;3;4;50316.0;50616.0;leisure;home;False;False
157431;4;4;5;67416.0;67716.0;home;leisure;False;False
157431;5;5;6;71016.0;71316.0;leisure;home;False;True
157584;0;0;1;37440.0;38340.0;home;shop;True;False
157584;1;1;2;39240.0;40140.0;shop;home;False;True
157585;0;0;1;37005.0;37605.0;home;shop;True;False
157585;1;1;2;40605.0;41205.0;shop;home;False;True
158588;0;0;1;31257.0;31497.0;home;home;True;False
158588;1;1;2;31857.0;32277.0;home;leisure;False;False
158588;2;2;3;32697.0;33057.0;leisure;leisure;False;False
158588;3;3;4;33777.0;34077.0;leisure;home;False;False
158588;4;4;5;37017.0;37797.0;home;shop;False;False
158588;5;5;6;39957.0;40737.0;shop;home;False;False
158588;6;6;7;42837.0;44337.0;home;leisure;False;False
158588;7;7;8;58737.0;59637.0;leisure;leisure;False;False
158588;8;8;9;60417.0;60657.0;leisure;other;False;False
158588;9;9;10;61497.0;61677.0;other;home;False;False
158588;10;10;11;61857.0;62457.0;home;other;False;False
158588;11;11;12;63357.0;64617.0;other;home;False;True
158589;0;0;1;30148.0;30448.0;home;other;True;False
158589;1;1;2;31348.0;31948.0;other;home;False;False
158589;2;2;3;33148.0;33448.0;home;other;False;False
158589;3;3;4;35548.0;35848.0;other;home;False;False
158589;4;4;5;40648.0;40948.0;home;shop;False;False
158589;5;5;6;42148.0;42448.0;shop;home;False;False
158589;6;6;7;58948.0;59368.0;home;other;False;False
158589;7;7;8;60748.0;61288.0;other;home;False;False
158589;8;8;9;66748.0;67648.0;home;other;False;False
158589;9;9;10;67708.0;68548.0;other;home;False;True
159413;0;0;1;27545.0;37445.0;leisure;home;True;False
159413;1;1;2;41945.0;42365.0;home;work;False;False
159413;2;2;3;65345.0;65945.0;work;home;False;True
159414;0;0;1;30007.0;30307.0;home;work;True;False
159414;1;1;2;44047.0;44347.0;work;home;False;False
159414;2;2;3;49687.0;49987.0;home;work;False;False
159414;3;3;4;58807.0;58987.0;work;home;False;True
159949;0;0;1;54567.0;56367.0;home;leisure;True;False
159949;1;1;2;56367.0;58167.0;leisure;home;False;True
161709;0;0;1;26664.0;26964.0;home;education;True;False
161709;1;1;2;41064.0;41364.0;education;home;False;False
161709;2;2;3;48264.0;48564.0;home;education;False;False
161709;3;3;4;55464.0;55764.0;education;home;False;True
161710;0;0;1;23598.0;25398.0;home;work;True;False
161710;1;1;2;58398.0;60198.0;work;home;False;True
161711;0;0;1;31164.0;32064.0;home;shop;True;False
161711;1;1;2;32304.0;32424.0;shop;work;False;False
161711;2;2;3;44364.0;44544.0;work;home;False;False
161711;3;3;4;50964.0;51264.0;home;work;False;False
161711;4;4;5;68364.0;68964.0;work;shop;False;False
161711;5;5;6;73164.0;73464.0;shop;home;False;True
165383;0;0;1;30926.0;31526.0;home;shop;True;False
165383;1;1;2;34526.0;35426.0;shop;home;False;False
165383;2;2;3;54326.0;55226.0;home;leisure;False;False
165383;3;3;4;59726.0;60626.0;leisure;home;False;True
171434;0;0;1;31874.0;32474.0;home;shop;True;False
171434;1;1;2;35474.0;36374.0;shop;home;False;False
171434;2;2;3;55274.0;56174.0;home;leisure;False;False
171434;3;3;4;60674.0;61574.0;leisure;home;False;True
177176;0;0;1;57133.0;58393.0;home;leisure;True;False
177176;1;1;2;66493.0;67033.0;leisure;shop;False;False
177176;2;2;3;67933.0;68533.0;shop;home;False;True
178560;0;0;1;23123.0;23723.0;home;leisure;True;False
178560;1;1;2;41423.0;42023.0;leisure;home;False;True
178561;0;0;1;22382.0;24182.0;home;work;True;False
178561;1;1;2;33482.0;34382.0;work;work;False;False
178561;2;2;3;43082.0;43682.0;work;leisure;False;False
178561;3;3;4;46682.0;47582.0;leisure;work;False;False
178561;4;4;5;64082.0;64982.0;work;home;False;False
