household_id;iris_id;commune_id;departement_id;region_id;car_availability;bike_availability;number_of_vehicles;number_of_bikes;income;census_household_id
1200528;810650401;81065;81;76;all;none;2;0;1348.5;6399236
1226852;820330106;82033;82;76;all;none;1;0;1766.0;6405587
99;090020000;09002;09;76;all;some;2;2;3857.2657405242467;410141
34201;091820000;09182;09;76;all;some;2;2;2858.16585541767;416968
84144;110400000;11040;11;76;all;all;1;2;1409.8392820554745;463384
103029;111060101;11106;11;76;some;some;3;2;2415.6;467827
122023;112030103;11203;11;76;some;all;1;2;2454.0;472041
167912;113320000;11332;11;76;all;some;2;2;2280.8717366805536;481942
172945;113530000;11353;11;76;all;all;1;2;1758.2729259725006;482940
233582;112620102;11262;11;76;all;some;1;2;1870.4;498919
259316;310260000;31026;31;76;all;some;3;2;2676.5906344428654;1799400
265687;310330101;31033;31;76;all;some;2;2;526.0;1800696
274815;310530000;31053;31;76;some;some;1;2;5385.0319286853155;1802552
284247;310800000;31080;31;76;some;some;2;2;2721.96430228387;1804440
297612;311060000;31106;31;76;all;some;2;2;5481.987015713791;1807481
324869;315060102;31506;31;76;some;some;2;2;8575.0;1814765
330943;311350000;31135;31;76;all;some;2;2;1762.2;1816329
345232;310220101;31022;31;76;all;all;1;2;1104.0;1819935
351064;311530000;31153;31;76;all;some;1;2;3619.4701612111744;1821122
386218;312270000;31227;31;76;all;all;1;2;2718.0769745717203;1828240
399150;311690101;31169;31;76;all;all;1;2;3043.0;1830806
413860;315260101;31526;31;76;all;some;2;2;266.7;1833746
427503;312870000;31287;31;76;all;some;2;2;5395.062536799241;1836485
468461;313510000;31351;31;76;all;all;1;2;577.5;1845873
497709;313830000;31383;31;76;all;some;2;2;4289.1472994824235;1853293
521741;314450000;31445;31;76;all;some;2;2;3934.8;1858078
526516;314550000;31455;31;76;all;some;2;2;6983.015017758335;1859037
552229;311490902;31149;31;76;some;some;1;2;5552.400000000001;1864954
578612;315610104;31561;31;76;all;some;2;2;1742.4;1872445
612044;314460106;31446;31;76;all;all;1;2;4043.0;1881950
627924;311570103;31157;31;76;all;all;2;2;2791.5;1886659
691525;315552004;31555;31;76;all;all;1;2;247.0;1904333
694340;315551807;31555;31;76;all;all;2;2;4015.5;1905202
704979;315550401;31555;31;76;some;some;1;2;1618.2;1908537
764279;315553802;31555;31;76;all;all;3;2;3069.0;1927035
801664;315553001;31555;31;76;some;some;1;2;528.0;1938669
801963;315552201;31555;31;76;some;some;1;2;5712.0;1938767
808619;315555101;31555;31;76;all;all;2;2;1346.8;1940835
833941;315550501;31555;31;76;all;all;1;2;4175.0;1948784
896491;315554502;31555;31;76;all;some;2;2;2832.0;1968237
898989;315553802;31555;31;76;all;some;1;2;3304.0;1969060
940805;320730000;32073;32;76;some;all;1;2;4221.18890561118;1981182
946571;321170000;32117;32;76;all;all;2;2;4113.85227926526;1982336
976401;322520000;32252;32;76;all;some;2;2;3095.860025340844;1988302
984001;322980000;32298;32;76;all;all;1;2;3587.0227987160506;1989821
1025813;810180000;81018;81;76;all;all;1;2;2254.6315967837895;6356602
1068878;811300000;81130;81;76;all;some;2;2;2476.485430022295;6366529
1079300;811450000;81145;81;76;all;all;2;2;3067.5;6368827
1107408;812150000;81215;81;76;all;some;2;2;1678.3034587706563;6375025
1109975;811200102;81120;81;76;all;some;2;2;2784.6;6375540
1114297;812200000;81220;81;76;some;some;1;2;1382.5;6376402
1127899;812710103;81271;81;76;all;some;2;2;3817.8;6379113
1154726;810040501;81004;81;76;all;all;2;2;120.0;6385215
1170427;810040303;81004;81;76;some;some;1;2;187.2;6390278
1256104;821050000;82105;82;76;all;all;1;2;84.52826857759034;6412330
1282830;821680000;82168;82;76;all;some;2;2;3445.7968246282057;6417679
6520;090590000;09059;09;76;all;all;2;4;2220.9941791410533;411434
9994;090790000;09079;09;76;all;all;2;4;3161.9236122603033;412139
15284;091180000;09118;09;76;some;some;2;4;1176.3650484493855;413216
20773;091280000;09128;09;76;all;all;2;4;1979.5091793249105;414310
27228;091570000;09157;09;76;some;all;1;4;2719.0886203467344;415584
35655;091850000;09185;09;76;all;all;2;4;1966.5;417261
48445;092460000;09246;09;76;all;all;1;4;2698.576371932971;419830
54665;092820000;09282;09;76;all;all;3;4;2541.5;421080
57505;092890000;09289;09;76;some;all;1;4;4258.443405096894;421659
94778;110760104;11076;11;76;all;all;1;4;122.0;465906
113060;111290000;11129;11;76;all;all;1;4;1179.1308417448472;469861
141560;112170000;11217;11;76;all;all;2;4;2148.9632628522068;476679
147896;112590000;11259;11;76;some;all;1;4;2070.4837355179684;477938
153290;112790000;11279;11;76;all;all;3;4;4982.358926657265;479021
158144;112930000;11293;11;76;some;all;1;4;3028.016852555519;479989
184256;113700000;11370;11;76;some;all;1;4;1824.747452385276;485193
187090;113970101;11397;11;76;all;all;3;4;4668.0;485757
196670;114270000;11427;11;76;all;all;3;4;2425.14968653412;487692
211596;110690903;11069;11;76;some;all;1;4;840.0;491959
229793;112620206;11262;11;76;all;all;1;4;930.0;497711
247632;112620504;11262;11;76;some;all;2;4;4564.0;503407
252286;112620504;11262;11;76;none;all;0;4;1834.3;504877
266934;310350000;31035;31;76;all;all;1;4;984.076050241028;1800952
273265;310500000;31050;31;76;some;all;2;4;3929.3557373192507;1802238
337278;315060102;31506;31;76;some;all;3;4;10512.5;1817974
337391;311410000;31141;31;76;all;all;2;4;2124.689832584272;1818000
353741;311160101;31116;31;76;some;all;1;4;628.0;1821669
404445;312540000;31254;31;76;all;all;2;4;3840.0;1831860
406781;312630000;31263;31;76;all;all;3;4;2157.227176907359;1832326
409551;312650000;31265;31;76;all;all;2;4;4835.587327322028;1832878
425057;312320101;31232;31;76;some;all;2;4;7884.0;1836000
440209;312970000;31297;31;76;some;all;1;4;2020.835348152406;1839485
488032;314990102;31499;31;76;none;all;0;4;1857.0;1850900
501766;313900000;31390;31;76;all;all;1;4;807.0;1854096
515997;314210000;31421;31;76;some;all;2;4;4372.0;1856932
518988;314350000;31435;31;76;all;all;2;4;2355.5526535000567;1857529
524901;314540000;31454;31;76;some;all;1;4;5220.0;1858713
524908;314540000;31454;31;76;some;all;1;4;1090.0;1858715
527577;314570000;31457;31;76;some;all;1;4;2183.9424899378673;1859250
543160;314780000;31478;31;76;all;all;2;4;3202.482152746731;1862726
550084;314900000;31490;31;76;some;all;2;4;4216.0;1864372
553175;311490902;31149;31;76;all;all;2;4;6811.5;1865234
556114;311490501;31149;31;76;all;all;3;4;6979.5;1866094
560619;314900000;31490;31;76;all;some;2;4;5517.2;1867441
593357;310440102;31044;31;76;all;all;1;4;1653.0;1876785
602637;310440107;31044;31;76;all;all;1;4;934.0;1879146
644597;315350000;31535;31;76;all;all;2;4;2054.8820998683823;1891126
646583;315410000;31541;31;76;some;all;1;4;3552.0;1891524
661836;315552101;31555;31;76;all;all;1;4;894.0;1894989
666050;315554007;31555;31;76;all;all;1;4;218.0;1896315
675343;315554005;31555;31;76;none;all;0;4;4861.0;1899213
715537;315551902;31555;31;76;none;all;0;4;6350.400000000001;1911814
722021;315553803;31555;31;76;all;all;2;4;3666.0;1913822
759956;315553301;31555;31;76;all;all;1;4;1527.0;1925689
766703;315553402;31555;31;76;none;all;0;4;4543.0;1927791
772554;315555801;31555;31;76;some;all;2;4;4737.5;1929651
804041;315551501;31555;31;76;all;all;1;4;1488.0;1939408
836361;315552402;31555;31;76;all;all;1;4;1555.0;1949566
852586;315553703;31555;31;76;some;all;1;4;5259.0;1954622
856719;315555204;31555;31;76;none;all;0;4;4896.0;1955905
873995;315554004;31555;31;76;all;all;1;4;1714.0;1961252
876070;315551902;31555;31;76;all;all;1;4;708.0;1961905
882919;315554901;31555;31;76;all;all;3;4;3534.0;1964010
912194;315552303;31555;31;76;all;all;1;4;2751.0;1973169
915575;315551201;31555;31;76;some;all;1;4;8442.5;1974212
916972;315554701;31555;31;76;some;all;1;4;1813.5;1974650
939880;320670000;32067;32;76;all;all;2;4;4811.503289202206;1980999
944984;321030000;32103;32;76;all;all;2;4;3901.6632509813944;1982016
951359;321270000;32127;32;76;all;all;3;4;6222.835810681593;1983281
955260;321070102;32107;32;76;some;all;1;4;2743.5;1984053
964897;321320101;32132;32;76;all;all;3;4;2503.5;1985980
994434;323310000;32331;32;76;all;all;3;4;8003.855076964605;1991887
1016856;320130601;32013;32;76;all;all;3;4;1097.5;1996968
1022553;320130401;32013;32;76;all;all;3;4;5502.5;1998752
1023334;320130501;32013;32;76;all;all;2;4;5758.2;1998988
1032476;810400000;81040;81;76;some;all;2;4;428.93016604802426;6357926
1034527;810480000;81048;81;76;some;all;1;4;236.89999999999998;6358338
1064688;811240000;81124;81;76;some;all;2;4;3719.6234762336953;6365330
1076938;811440000;81144;81;76;some;all;2;4;5406.0;6368361
1079342;811450000;81145;81;76;some;all;2;4;4385.0;6368835
1105599;812110000;81211;81;76;all;some;2;4;186.39061342604242;6374667
1107500;812160000;81216;81;76;all;all;3;4;186.07048552167942;6375043
1109430;812180000;81218;81;76;all;all;1;4;2226.0181745972636;6375430
1109789;811200102;81120;81;76;all;all;2;4;3192.0;6375502
1116759;812220000;81222;81;76;all;all;1;4;1411.6677540745902;6376901
1120235;812330000;81233;81;76;some;all;2;4;1997.2133761819027;6377598
1129996;812710103;81271;81;76;some;all;2;4;3332.5;6379528
1133518;812570103;81257;81;76;none;all;0;4;1358.0;6380224
1138506;812760000;81276;81;76;some;all;2;4;4741.562780877406;6381208
1142567;812880000;81288;81;76;all;all;3;4;995.3402994570645;6382030
1168427;810040603;81004;81;76;some;all;2;4;544.0;6389641
1174802;810040303;81004;81;76;all;all;1;4;2595.0;6391684
1179732;810600105;81060;81;76;all;all;2;4;3201.0;6392761
1190221;810650202;81065;81;76;all;all;1;4;2901.0;6395971
1193469;810650902;81065;81;76;all;all;2;4;314.0;6397006
1218899;820250000;82025;82;76;some;all;2;4;4287.403625236609;6403524
1224516;820330106;82033;82;76;all;all;3;4;1376.0;6404938
1227477;820330106;82033;82;76;some;all;1;4;331.8;6405762
1230650;820420000;82042;82;76;all;all;2;4;2086.0799670801916;6406568
1230715;820430000;82043;82;76;all;all;2;4;319.1722808992343;6406581
1241358;820680000;82068;82;76;all;all;2;4;2551.6573425200813;6409305
1245306;820790000;82079;82;76;some;all;1;4;3172.770553789182;6410173
1249961;820930000;82093;82;76;some;all;2;4;961.207948394705;6411108
1252034;820960000;82096;82;76;some;all;1;4;42.751816071682384;6411523
1252592;820960000;82096;82;76;some;all;2;4;3860.302457418264;6411633
1253440;820970000;82097;82;76;some;all;1;4;2157.1398484816787;6411804
1254143;820980000;82098;82;76;all;all;3;4;3016.4067852887297;6411943
1266861;821250000;82125;82;76;all;all;3;4;2676.0;6414483
1279507;821550000;82155;82;76;all;some;2;4;4895.890523214541;6417016
1299381;821210701;82121;82;76;all;all;3;4;3502.5;6421730
1301297;821210701;82121;82;76;all;all;2;4;4638.0;6422334
1313575;821210701;82121;82;76;all;all;2;4;3028.5;6426246
1315395;821211102;82121;82;76;some;all;2;4;4694.299999999999;6426820
1366991;811050101;81105;81;76;none;all;0;4;1069.0;8342584
1370645;810040102;81004;81;76;none;all;0;4;1720.0;8343356
1097;090150000;09015;09;76;all;some;1;2;2979.9873396670537;410341
8748;090710000;09071;09;76;all;some;2;2;2427.9240886117145;411885
10926;090910000;09091;09;76;all;all;1;2;1974.7375420423127;412330
14030;092610101;09261;09;76;some;some;1;2;7161.0;412963
30779;091670000;09167;09;76;all;some;3;2;2253.254406159878;416291
58281;092940000;09294;09;76;all;some;2;2;3427.8804416567395;421819
61715;093060000;09306;09;76;some;some;3;2;4965.553884485052;422523
61823;093060000;09306;09;76;all;some;2;2;3387.722091406928;422545
62109;093120000;09312;09;76;some;some;1;2;3161.2084631653897;422602
63841;093210000;09321;09;76;some;some;1;2;3593.557857981698;422951
67687;092250104;09225;09;76;some;some;1;2;2678.4;423878
73058;092250104;09225;09;76;some;some;2;2;7261.2;425537
84510;110410000;11041;11;76;all;some;2;2;3548.0639881429524;463457
91743;110760105;11076;11;76;some;some;1;2;329.7;465104
93516;110760106;11076;11;76;some;some;1;2;1339.0;465578
104024;111060102;11106;11;76;all;some;2;2;4260.0;468030
105255;110990000;11099;11;76;some;some;1;2;5760.085395192137;468279
108943;111030000;11103;11;76;some;some;1;2;2307.1355036214386;469032
113035;111290000;11129;11;76;some;some;1;2;4886.479431734448;469857
115066;111380000;11138;11;76;all;some;3;2;3707.5975512893415;470264
123968;111570000;11157;11;76;all;some;2;2;2022.2358855740326;472572
127802;111700000;11170;11;76;all;some;2;2;2187.2999999999997;473576
131509;111700000;11170;11;76;all;some;2;2;678.3000000000001;474531
137310;111990000;11199;11;76;all;some;1;2;3837.0941452383304;475822
137649;112020000;11202;11;76;all;some;2;2;3274.4228282295126;475891
141926;112200000;11220;11;76;all;some;3;2;2535.2141194628907;476753
149540;112690000;11269;11;76;all;some;1;2;2377.9814129036286;478273
165189;113150000;11315;11;76;some;some;2;2;6278.347433717382;481394
178761;113610000;11361;11;76;all;some;2;2;668.7988486242081;484108
179005;112660101;11266;11;76;some;some;1;2;4099.2;484156
184876;113790102;11379;11;76;all;some;2;2;1537.2;485317
186662;113830000;11383;11;76;some;some;2;2;8729.477747606654;485672
188447;113970102;11397;11;76;none;all;0;2;321.0;486032
192642;113970102;11397;11;76;some;some;1;2;6692.0;486878
207489;110690403;11069;11;76;some;some;1;2;10955.4;490675
226296;112620503;11262;11;76;none;some;0;2;5720.0;496607
260670;310280000;31028;31;76;some;some;2;2;5303.796069169181;1799674
272494;310480000;31048;31;76;all;some;2;2;1262.306579980173;1802081
272817;310490000;31049;31;76;all;some;1;2;4276.225003513457;1802147
273869;310520000;31052;31;76;some;some;2;2;4966.4162336101635;1802359
287806;310880000;31088;31;76;all;some;3;2;9444.726842724318;1805157
293621;310990000;31099;31;76;all;some;2;2;4775.209844671786;1806406
294975;311000000;31100;31;76;all;some;2;2;4984.99864719338;1806768
297555;310690108;31069;31;76;some;some;1;2;6156.0;1807466
298055;310560101;31056;31;76;all;some;2;2;739.2;1807594
313063;310690111;31069;31;76;all;some;2;2;5205.900000000001;1811599
333201;311130105;31113;31;76;none;all;0;2;3586.5;1816920
349616;310220101;31022;31;76;all;some;2;2;4601.1;1820823
353446;311600000;31160;31;76;all;some;2;2;3281.353635445882;1821609
353971;311160101;31116;31;76;all;all;1;2;500.5;1821717
354742;311160102;31116;31;76;all;some;2;2;1871.1000000000001;1821876
355757;310220101;31022;31;76;some;some;1;2;10225.800000000001;1822082
358061;314670101;31467;31;76;some;some;1;2;3803.4;1822557
361085;311650000;31165;31;76;some;some;1;2;7368.900000000001;1823186
363285;311650000;31165;31;76;some;some;1;2;5187.6;1823633
365413;314670102;31467;31;76;all;some;2;2;3632.4;1824063
366883;311160103;31116;31;76;all;some;2;2;1035.3;1824357
371478;311820000;31182;31;76;all;some;1;2;1976.0;1825288
372595;311840000;31184;31;76;all;some;2;2;6126.128406067886;1825510
379092;312020000;31202;31;76;all;some;2;2;5510.4;1826805
384857;312180000;31218;31;76;some;some;2;2;2048.663436338552;1827965
390543;312330000;31233;31;76;all;some;2;2;4327.382255582505;1829101
399834;312520000;31252;31;76;all;some;2;2;5696.1207103074885;1830943
400169;311690102;31169;31;76;some;some;1;2;4446.0;1831011
400581;312520000;31252;31;76;some;some;1;2;8188.638490080486;1831093
402537;312540000;31254;31;76;all;some;2;2;7730.1;1831480
418055;312730000;31273;31;76;all;some;2;2;16053.087241221476;1834589
425683;315260102;31526;31;76;some;some;2;2;2070.0;1836125
426527;312870000;31287;31;76;some;some;2;2;4285.927616969394;1836294
426932;312870000;31287;31;76;all;some;3;2;4871.401586495602;1836372
432349;312930000;31293;31;76;all;some;2;2;5047.851003330249;1837511
444281;315470102;31547;31;76;all;some;2;2;8353.800000000001;1840505
451283;313030000;31303;31;76;all;some;2;2;8393.658959583541;1842265
462845;313380000;31338;31;76;all;some;2;2;5808.676591553366;1844770
470840;313550000;31355;31;76;all;some;2;2;4398.914082904565;1846340
472704;313580000;31358;31;76;some;some;1;2;7473.781826727509;1846710
474493;314990102;31499;31;76;all;some;1;2;5239.8;1847153
479789;314240102;31424;31;76;some;some;1;2;2091.6;1848610
481637;314240101;31424;31;76;some;some;1;2;453.6;1849122
507843;314330103;31433;31;76;some;some;1;2;907.1999999999999;1855305
510123;314100000;31410;31;76;all;some;2;2;656.5780521664726;1855759
510423;314100000;31410;31;76;all;some;2;2;8206.123614641898;1855819
520344;314450000;31445;31;76;some;some;1;2;8691.199999999999;1857803
532331;314600000;31460;31;76;all;some;1;2;3972.8;1860193
536376;314600000;31460;31;76;all;some;2;2;285.6;1861100
541005;314830102;31483;31;76;some;some;1;2;919.9999999999999;1862210
542261;314760000;31476;31;76;all;some;3;2;7136.981931106435;1862505
543729;314800000;31480;31;76;all;some;1;2;4539.110675085873;1862854
544939;314800000;31480;31;76;all;some;2;2;6562.305399428722;1863148
546930;314830104;31483;31;76;all;some;1;2;1788.8000000000002;1863622
555118;311490101;31149;31;76;all;all;1;2;1695.2;1865791
583915;314880104;31488;31;76;some;some;1;2;201.60000000000002;1874086
584075;314880102;31488;31;76;all;some;2;2;1278.9;1874140
586291;315610105;31561;31;76;all;all;1;2;1507.5;1874824
588115;315610106;31561;31;76;all;some;2;2;1652.4;1875386
591621;314950000;31495;31;76;all;some;2;2;7577.468641978118;1876341
601136;310440105;31044;31;76;all;all;1;2;2345.2000000000003;1878751
602239;310440102;31044;31;76;all;some;2;2;5638.5;1879038
604316;310440103;31044;31;76;all;some;2;2;4628.400000000001;1879562
606111;314460105;31446;31;76;some;some;1;2;7427.700000000001;1880063
608998;314460103;31446;31;76;some;some;1;2;2589.6;1880973
614736;315570104;31557;31;76;all;some;2;2;1812.3000000000002;1882760
619487;315570108;31557;31;76;some;some;1;2;1749.3000000000002;1884179
622446;311570101;31157;31;76;all;some;2;2;7704.0;1885046
624452;315570101;31557;31;76;all;some;2;2;1881.6;1885645
627908;315570102;31557;31;76;some;some;2;2;1196.6000000000001;1886655
630480;315570101;31557;31;76;all;some;3;2;1819.2;1887420
631164;311570102;31157;31;76;all;some;2;2;4735.5;1887619
637547;311570105;31157;31;76;some;some;1;2;3095.4;1889528
638445;315570109;31557;31;76;all;some;3;2;1505.7;1889803
644899;315380000;31538;31;76;some;some;2;2;4250.8197195815565;1891187
647661;315530000;31553;31;76;all;some;2;2;1990.245853622322;1891739
651153;315720000;31572;31;76;all;some;2;2;5192.186671410196;1892441
652853;315730000;31573;31;76;all;some;2;2;5101.990505365323;1892781
659679;315551805;31555;31;76;none;all;0;2;5020.5;1894309
664195;315552001;31555;31;76;some;some;1;2;2910.6;1895731
667804;315553301;31555;31;76;all;some;1;2;2498.5;1896870
672580;315554201;31555;31;76;none;all;0;2;1175.0;1898359
674372;315553901;31555;31;76;none;some;0;2;3360.6;1898918
685413;315554602;31555;31;76;some;some;1;2;4042.5;1902411
691331;315551807;31555;31;76;all;some;3;2;3.8;1904269
701427;315553503;31555;31;76;all;some;3;2;2870.4;1907424
719341;315552103;31555;31;76;all;all;1;2;2029.3000000000002;1913006
765922;315554004;31555;31;76;all;some;2;2;8085.0;1927543
773999;315555901;31555;31;76;none;some;0;2;862.2;1930089
818567;315554004;31555;31;76;some;some;1;2;4011.0;1943973
823092;315553802;31555;31;76;all;some;2;2;9403.800000000001;1945379
846541;315553504;31555;31;76;all;some;2;2;2547.3;1952738
862920;315551501;31555;31;76;none;all;0;2;5169.0;1957827
905815;315551002;31555;31;76;none;all;0;2;957.0;1971208
917627;315552002;31555;31;76;none;all;0;2;3683.0;1974863
929559;315552104;31555;31;76;none;some;0;2;3356.0;1978533
933547;320010000;32001;32;76;some;some;2;2;5551.430676866925;1979722
936759;320400000;32040;32;76;all;some;2;2;3491.7496867506;1980369
937323;320450000;32045;32;76;all;some;2;2;4243.108611501028;1980483
940847;320760000;32076;32;76;all;some;1;2;2957.8651225440262;1981191
943593;320910000;32091;32;76;all;some;2;2;2197.9512039242986;1981742
960025;321620000;32162;32;76;all;some;1;2;2882.7124380658274;1984995
964705;321970000;32197;32;76;all;some;2;2;8181.096436068846;1985940
980798;322770000;32277;32;76;all;some;2;2;4191.631215686898;1989183
998258;323450000;32345;32;76;none;all;0;2;3189.933701153216;1992654
999735;323700000;32370;32;76;all;some;2;2;3154.934912776883;1992952
1002864;323920000;32392;32;76;some;some;2;2;185.69821094101675;1993581
1005060;324100000;32410;32;76;all;some;2;2;5763.649966516778;1994024
1007988;324260000;32426;32;76;all;some;1;2;4287.416241734759;1994607
1010202;324430000;32443;32;76;all;some;2;2;4047.4078535328663;1995049
1012711;320130601;32013;32;76;all;some;2;2;2302.2000000000003;1995664
1020287;320130302;32013;32;76;all;some;1;2;6446.4;1998043
1022476;320130301;32013;32;76;all;some;2;2;2614.5;1998726
1023023;320130301;32013;32;76;none;some;0;2;2491.2000000000003;1998892
1032153;810380000;81038;81;76;none;some;0;2;7154.009814784387;6357862
1034899;810480000;81048;81;76;all;some;2;2;1272.6000000000001;6358414
1043270;810710000;81071;81;76;all;all;1;2;2177.4796980600286;6360105
1043849;810740000;81074;81;76;all;some;2;2;3987.024715419874;6360223
1045593;810760000;81076;81;76;some;some;1;2;4251.518704562851;6360578
1049048;810930000;81093;81;76;all;some;2;2;4731.0421491694915;6361272
1053515;811150000;81115;81;76;all;some;2;2;3467.622179584861;6362161
1060970;810990102;81099;81;76;some;some;2;2;3366.0;6364238
1068303;811050105;81105;81;76;some;some;3;2;6028.4;6366358
1076078;811430000;81143;81;76;some;some;2;2;4812.043665637041;6368187
1078204;811440000;81144;81;76;all;some;1;2;1960.0;6368610
1078381;811440000;81144;81;76;all;some;3;2;3364.2000000000003;6368645
1082299;811560000;81156;81;76;all;some;2;2;3515.6130881137315;6369433
1084566;811680000;81168;81;76;all;all;1;2;1301.8956698063976;6369890
1094827;811850000;81185;81;76;all;some;2;2;2058.747949413562;6372532
1095732;811900000;81190;81;76;all;some;2;2;7502.400666768884;6372709
1102394;812050000;81205;81;76;all;all;2;2;115.65630538380628;6374030
1110655;812180000;81218;81;76;all;some;1;2;2235.3417047877165;6375671
1119671;812330000;81233;81;76;all;some;2;2;3943.072649743722;6377488
1122553;812390000;81239;81;76;all;some;2;2;3842.2106602632475;6378059
1129106;812710104;81271;81;76;all;some;2;2;4640.0;6379351
1129966;812710103;81271;81;76;all;some;2;2;5817.0;6379522
1130260;812710104;81271;81;76;all;some;2;2;2746.8;6379580
1132530;812640000;81264;81;76;all;some;3;2;3711.9856964697883;6380030
1142797;812880000;81288;81;76;all;some;3;2;3354.98473049752;6382079
1149181;810040302;81004;81;76;all;some;2;2;59.8;6383442
1153079;810040302;81004;81;76;some;some;2;2;1778.2;6384694
1178200;810600101;81060;81;76;none;all;0;2;1884.0;6392457
1181269;810650701;81065;81;76;all;some;2;2;1272.6000000000001;6393147
1193311;810650202;81065;81;76;some;some;2;2;4554.0;6396956
1195505;810650101;81065;81;76;all;some;1;2;1744.2;6397650
1206112;811630103;81163;81;76;none;some;0;2;208.79999999999998;6400956
1208375;820020000;82002;82;76;all;some;2;2;6009.985511530939;6401433
1237070;821120101;82112;82;76;all;some;1;2;3941.7000000000003;6408005
1238197;821120102;82112;82;76;some;some;1;2;5004.0;6408345
1238750;821120101;82112;82;76;some;some;1;2;6631.8;6408518
1239623;821120101;82112;82;76;none;all;0;2;1050.0;6408785
1240818;821120101;82112;82;76;all;some;2;2;1027.2;6409147
1246109;820800000;82080;82;76;all;some;2;2;3834.2735563714064;6410332
1249771;820930000;82093;82;76;all;some;2;2;4144.865422098058;6411069
1264086;821240000;82124;82;76;some;some;1;2;4820.978674609698;6413930
1272601;821350000;82135;82;76;none;all;0;2;2667.1973951747573;6415633
1275487;821410000;82141;82;76;all;some;1;2;4828.158196865633;6416206
1275819;821420000;82142;82;76;some;some;1;2;6144.9737006727655;6416274
1277088;821450000;82145;82;76;all;some;2;2;2567.6073760517124;6416527
1277280;821480000;82148;82;76;some;some;1;2;2953.4112921557844;6416565
1277508;821490000;82149;82;76;all;some;2;2;1809.1709248542338;6416610
1283009;821690000;82169;82;76;all;some;2;2;2088.0033767141967;6417715
1285277;821720000;82172;82;76;all;some;1;2;2532.5603850999264;6418167
1286212;821730000;82173;82;76;some;some;1;2;4210.787655546892;6418354
1287897;821810000;82181;82;76;all;some;2;2;3959.9804282529917;6418691
1292559;821900000;82190;82;76;all;some;2;2;7129.2;6419627
1304892;821210301;82121;82;76;some;some;1;2;3225.6;6423452
1310811;821210701;82121;82;76;all;some;2;2;2832.3;6425354
1325488;092250107;09225;09;76;none;all;0;2;952.0;8078666
1325524;092250107;09225;09;76;none;all;0;2;288.0;8078674
1328057;114350000;11435;11;76;none;all;0;2;1507.9875641739409;8081148
1329491;114370000;11437;11;76;none;all;0;2;52.41403707759372;8081478
1342357;315470102;31547;31;76;none;all;0;2;1637.0;8148503
1359426;315554702;31555;31;76;none;all;0;2;1206.0;8153120
108;090020000;09002;09;76;all;all;1;2;3104.4572326149373;410143
11823;091030000;09103;09;76;all;all;1;2;1144.7037715396223;412515
63477;093120000;09312;09;76;some;all;1;2;4737.7569942375285;422879
67293;092250103;09225;09;76;all;all;3;2;3949.5;423755
252797;112620504;11262;11;76;all;some;3;2;7760.0;505041
278872;310660000;31066;31;76;all;some;2;2;946.0;1803368
